,title,lastrevid
59144188,Manuel Bernardo de Sousa,886461023.0
59144273,Augusto da Silva Tomás,1112407992.0
66363558,Luzia Inglês Van-Dúnem,1067323463.0
34653679,Manuel Vicente,1106406859.0
41094312,Mfulupinga Nlando Victor,994085067.0
4553552,Randolph Beazer,1094157275.0
39196935,Studiation Brown,825090349.0
70459566,Colin O'Neil Browne,1108425154.0
395065,James Carlisle,1112658085.0
70464491,Gail Christian,1082380535.0
70457407,Osbert Richard Frederick,1082381271.0
36172495,William Haynes-Smith,1037116181.0
1706347,Tim Hector,1075044001.0
70458059,Cheryl Mary Clare Hurst,1082380270.0
866767,Wilfred Jacobs,1110866224.0
1370238,Harold Lovell,1106157497.0
1474881,John Lyons (Antiguan politician),1102523754.0
70457778,Edmond Mansoor,1106044619.0
69840005,Joanne Massiah,1095742971.0
66270219,Melford Walter Nicholas,1113392435.0
32457882,Bernard Percival,1073473676.0
56554702,Alincia Williams-Grant,1080767913.0
34245516,Joaquín Samuel de Anchorena,1096421201.0
34244737,Juan Agustín Augier,989941326.0
33983813,Uladislao Augier,1083670137.0
59327216,Joaquín Belgrano,1033486500.0
33664981,Antonio Bermejo,1111012579.0
6073785,Antonio Beruti,1072761348.0
9284882,Héctor Bidonde,1091652004.0
34237682,Silvano Bores,1035890502.0
71346475,Pedro Braillard Poccard,1100848745.0
49155928,Exequiel Bustillo,1096179751.0
65315071,Mario Cafiero,1102185475.0
34245468,Alberto Manuel Campos,1073206939.0
30075886,Alejo Castex,1096414709.0
37675541,Dámaso Centeno,1096183091.0
63021574,Carlos Corach,1068148753.0
68921848,Jorge Coscia,1099409991.0
68279846,Juan Carlos Del Bello,1100037128.0
34269206,Luis L. Domínguez,1089356576.0
24435828,Máximo Etchecopar,1115155777.0
57444909,Héctor Toty Flores,1067754685.0
35019444,Juan Fugl,1073206214.0
34245355,Santiago Gallo,1039135531.0
34116308,Manuel José García,1007128573.0
62063026,Juan José Gómez Centurión,1110844685.0
33775919,Luis Carlos Gómez Centurión,1040878894.0
62520482,Martín Guzmán,1111128923.0
53925600,Federico Helguera,1066754349.0
64207179,Fernando Iglesias (Argentine politician),1093400021.0
59157871,Ricardo Kennedy,1096426574.0
66679031,Carlos Kunkel,1005790906.0
34227726,Norberto La Porta,721029407.0
42602703,Andrés Larroque,1060504858.0
34238187,Julián de Leyva,959654287.0
33618474,Mónica López (politician),797826672.0
63411508,Lucio Victorio Mansilla,1086339086.0
67425992,Nicolás Massot,1069153148.0
50311956,Juan Mignaburu,994878410.0
48718026,Guillermo Montenegro,1096175549.0
2646684,Mariano Moreno,1113829451.0
60735110,Marcelo Muniagurria,1108926646.0
59875492,Fernando Nadra,1105357958.0
30408343,Rómulo Sebastián Naón,1096261399.0
68384265,Santiago G. O'Farrell,1096261487.0
64796030,Miguel Ángel Pesce,1096459313.0
4711836,Carlos Petroni,1100374393.0
13969711,Alejo Peyret,1091481103.0
65165279,Aldo Pignanelli,1106856167.0
61319752,Enrique S. Quintana,1016343362.0
37614763,Amán Rawson,1096678788.0
32035804,Martín Sabbatella,1073202733.0
43733197,Juan Pablo Schiavi,1069152180.0
36611677,Héctor Tizón,1096176230.0
44314693,Claudio Uberti,1032047313.0
43580622,Arístides Villanueva,994807413.0
51452962,Artashes Abeghyan,1088583026.0
40464372,Aram Achekbashian,1046857776.0
17671212,Hovsep Arghutian,1095822812.0
51382726,Mikael Atabekyan,1008108682.0
51382722,Tigran Bekzadyan,1027604306.0
68921820,Vigen Chitechyan,1099308421.0
62954035,Hayk Chobanyan,1093711595.0
14241847,Daniel-Bek of Sassun,1114419837.0
65758698,Gurgen Egiazaryan,1103745376.0
39480125,Parunak Ferukhan,1114420012.0
69116429,Hambardzum Galstyan,1084735335.0
45654470,Gegham Gharibjanian,1048485720.0
51382743,Gevorg Ghazaryan (politician),1082547991.0
38182964,Andrias Ghukasyan,1108345283.0
71835369,Aram Grigoryan,1112117000.0
60280371,Armen Grigoryan (politician),1069944070.0
61950972,Hayk Grigoryan,1090623549.0
51385769,Grigor Jaghetyan,1062820993.0
49890680,Tigran Karapetyan,1112833785.0
14241986,Khachatur-Bek of Mush,1114420639.0
71646764,Aram Kocharyan,1107982644.0
64803270,Davit Lokyan,1089241404.0
47716578,Hrant Maloyan,1114902744.0
17671927,Khachatur Malumian,1114420669.0
43861613,Aram Manukyan,1048512708.0
51382725,Gevorg Melik-Karagyozyan,980519720.0
37676127,Vahan Minakhoryan,1055697655.0
52825646,Ruben Mirzakhanyan,1084737845.0
69622019,Badal Muradyan,1090630537.0
33570439,Gabriel Noradunkyan,1114426086.0
69624980,Suren Papikyan,1112772824.0
38740149,Paul Paul,1114420707.0
50404059,Garo Paylan,1104655518.0
34177704,Genrikh Poghosyan,1085393392.0
67643004,Ishkhan Saghatelyan,1107169295.0
42075810,Martiros Sarukhanyan,933482772.0
19929382,Vartkes Serengülian,1114426992.0
54156092,Serop Zakaryan,1057547947.0
37935229,Servitchen,1114420738.0
8048537,Suren Shadunts,1109564586.0
37943272,Kasbar Sinabian,1114426546.0
41520046,Ohannes Tchekidjian,1090861179.0
63774722,Hrayr Tovmasyan,993785842.0
66901795,Usuv Beg,1086955149.0
40573188,Kegham Vanigian,1114420793.0
59724252,Artak Zeynalyan,1097086972.0
67603883,Alfons Adam,1103541474.0
4252669,Ingo Appelt,997950968.0
2247772,Baron Alexander von Bach,1114355363.0
26429545,"Maximilian Anton Karl, Count Baillet de Latour",1112473939.0
48931564,Heinrich Alfred Barb,1092809567.0
6387948,Raphael Basch,1023595642.0
862679,Leopold Berchtold,1089443270.0
29152372,Hanns Blaschke,1115530871.0
29190628,Andreas Bolek,1005030653.0
