date,order_code,Face_Masks_Required_in_Public,Source_of_Action,Citation,COUNTYFP,1845,index,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS
2020-08-23,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,21697,1775,0.02,0.014,0.053,0.151,0.762
2020-08-24,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,21732,1775,0.02,0.014,0.053,0.151,0.762
2020-08-25,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,21782,1775,0.02,0.014,0.053,0.151,0.762
2020-08-26,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,21827,1775,0.02,0.014,0.053,0.151,0.762
2020-08-27,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,21849,1775,0.02,0.014,0.053,0.151,0.762
2020-08-28,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,21872,1775,0.02,0.014,0.053,0.151,0.762
2020-08-29,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,21920,1775,0.02,0.014,0.053,0.151,0.762
2020-08-30,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,21957,1775,0.02,0.014,0.053,0.151,0.762
2020-08-31,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,22004,1775,0.02,0.014,0.053,0.151,0.762
2020-09-01,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,22074,1775,0.02,0.014,0.053,0.151,0.762
2020-09-02,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,22104,1775,0.02,0.014,0.053,0.151,0.762
2020-09-03,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,22141,1775,0.02,0.014,0.053,0.151,0.762
2020-09-04,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,22174,1775,0.02,0.014,0.053,0.151,0.762
2020-09-05,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,22178,1775,0.02,0.014,0.053,0.151,0.762
2020-09-06,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,22211,1775,0.02,0.014,0.053,0.151,0.762
2020-09-07,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,22243,1775,0.02,0.014,0.053,0.151,0.762
2020-09-08,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,22278,1775,0.02,0.014,0.053,0.151,0.762
2020-09-09,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,22308,1775,0.02,0.014,0.053,0.151,0.762
2020-09-10,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,22332,1775,0.02,0.014,0.053,0.151,0.762
2020-09-11,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,22369,1775,0.02,0.014,0.053,0.151,0.762
2020-09-12,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,22385,1775,0.02,0.014,0.053,0.151,0.762
2020-09-13,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,22424,1775,0.02,0.014,0.053,0.151,0.762
2020-09-14,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,22457,1775,0.02,0.014,0.053,0.151,0.762
2020-09-15,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,22467,1775,0.02,0.014,0.053,0.151,0.762
2020-09-16,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,22501,1775,0.02,0.014,0.053,0.151,0.762
2020-09-17,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,22564,1775,0.02,0.014,0.053,0.151,0.762
2020-09-18,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,22598,1775,0.02,0.014,0.053,0.151,0.762
2020-09-19,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,22624,1775,0.02,0.014,0.053,0.151,0.762
2020-09-20,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,22648,1775,0.02,0.014,0.053,0.151,0.762
2020-09-21,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,22686,1775,0.02,0.014,0.053,0.151,0.762
2020-09-22,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,22748,1775,0.02,0.014,0.053,0.151,0.762
2020-09-23,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,22780,1775,0.02,0.014,0.053,0.151,0.762
2020-09-24,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,22818,1775,0.02,0.014,0.053,0.151,0.762
2020-09-25,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,22847,1775,0.02,0.014,0.053,0.151,0.762
2020-09-26,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,22883,1775,0.02,0.014,0.053,0.151,0.762
2020-09-27,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,22931,1775,0.02,0.014,0.053,0.151,0.762
2020-09-28,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,22975,1775,0.02,0.014,0.053,0.151,0.762
2020-09-29,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,23014,1775,0.02,0.014,0.053,0.151,0.762
2020-09-30,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,23061,1775,0.02,0.014,0.053,0.151,0.762
2020-10-01,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,23133,1775,0.02,0.014,0.053,0.151,0.762
2020-10-02,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,23191,1775,0.02,0.014,0.053,0.151,0.762
2020-10-03,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,23256,1775,0.02,0.014,0.053,0.151,0.762
2020-10-04,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,23300,1775,0.02,0.014,0.053,0.151,0.762
2020-10-05,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,23345,1775,0.02,0.014,0.053,0.151,0.762
2020-10-06,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,23408,1775,0.02,0.014,0.053,0.151,0.762
2020-10-07,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,23469,1775,0.02,0.014,0.053,0.151,0.762
2020-10-08,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,23561,1775,0.02,0.014,0.053,0.151,0.762
2020-10-09,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,23640,1775,0.02,0.014,0.053,0.151,0.762
2020-10-10,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,23721,1775,0.02,0.014,0.053,0.151,0.762
2020-10-11,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,23791,1775,0.02,0.014,0.053,0.151,0.762
2020-10-12,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,23852,1775,0.02,0.014,0.053,0.151,0.762
2020-10-13,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,23964,1775,0.02,0.014,0.053,0.151,0.762
2020-10-14,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,24048,1775,0.02,0.014,0.053,0.151,0.762
2020-10-15,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,24177,1775,0.02,0.014,0.053,0.151,0.762
2020-10-16,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,24269,1775,0.02,0.014,0.053,0.151,0.762
2020-10-17,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,24359,1775,0.02,0.014,0.053,0.151,0.762
2020-10-18,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,24476,1775,0.02,0.014,0.053,0.151,0.762
2020-10-19,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,24609,1775,0.02,0.014,0.053,0.151,0.762
